,Gender,Age,Education,EducationField,YearsAtCompany,Department,EnvironmentSatisfaction,JobLevel,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHQ,State,AgeWhenHired,MaritalStatus,PercentSalaryHike,StockOptionLevel,Compensation
0,M,46.0,Some College,Medical,4.0,Marketing,Medium,Associate,8.0,Yes,Outstanding,16.0,2.0,3.0,2.0,0.0,2.0,4.1276,NY,31.0,Divorced,22.0,Full Option Plan,1
1,M,59.0,Masters,Human Resources,3.0,Marketing,High,VP to C-Level,9.0,No,Outstanding,30.0,3.0,3.0,2.0,2.0,2.0,5.9853,NY,43.0,Married,21.0,Full Option Plan,1
2,M,54.0,Bachelors,Human Resources,5.0,Marketing,Very High,Executive,2.0,Yes,Excellent,23.0,3.0,3.0,3.0,4.0,4.0,2.2375,NY,35.0,Single,12.0,No Option Plan,1
3,F,26.0,Below College,Life Sciences,8.0,Finance,High,Junior Associate,1.0,No,Outstanding,8.0,3.0,3.0,7.0,5.0,7.0,6.9875,NJ,29.0,Married,23.0,Full Option Plan,0
4,M,30.0,Bachelors,Human Resources,11.0,Finance,High,Associate,0.0,Yes,Excellent,12.0,2.0,1.0,9.0,4.0,7.0,9.1022,NY,46.0,Married,19.0,No Option Plan,1
5,F,59.0,Some College,Medical,2.0,Finance,Medium,Junior Associate,8.0,No,Excellent,7.0,2.0,2.0,2.0,2.0,2.0,2.7505,NY,45.0,Married,17.0,No Option Plan,0
6,M,31.0,Bachelors,Human Resources,2.0,Finance,Low,Associate,3.0,No,Excellent,9.0,1.0,3.0,2.0,1.0,0.0,5.1789,NY,32.0,Married,12.0,No Option Plan,1
7,M,42.0,Below College,Technical Degree,3.0,Finance,High,Junior Associate,0.0,Yes,Excellent,4.0,5.0,3.0,2.0,1.0,0.0,6.8516,NJ,43.0,Divorced,11.0,Full Option Plan,0
8,M,50.0,Bachelors,Medical,32.0,Marketing,Low,VP to C-Level,1.0,No,Excellent,32.0,2.0,3.0,5.0,10.0,7.0,9.5247,NJ,29.0,Married,11.0,Full Option Plan,1
9,F,44.0,Masters,Life Sciences,2.0,Marketing,Low,Associate,4.0,No,Excellent,10.0,1.0,4.0,2.0,0.0,2.0,8.0002,NY,43.0,Single,11.0,No Option Plan,1
10,F,54.0,Masters,Medical,9.0,Marketing,High,Manager,2.0,No,Excellent,16.0,1.0,4.0,7.0,7.0,1.0,2.7051,NY,29.0,Married,15.0,Full Option Plan,1
11,M,41.0,Masters,Human Resources,21.0,Marketing,Medium,VP to C-Level,3.0,No,Excellent,23.0,2.0,2.0,6.0,12.0,6.0,9.3994,NY,49.0,Divorced,15.0,Small Option Plan,1
12,F,41.0,Bachelors,Human Resources,22.0,Marketing,Very High,VP to C-Level,1.0,No,Excellent,22.0,3.0,3.0,7.0,2.0,10.0,4.4682,NY,34.0,Married,12.0,Full Option Plan,1
13,M,39.0,Bachelors,Human Resources,8.0,Finance,High,Associate,9.0,No,Excellent,12.0,3.0,1.0,3.0,3.0,6.0,8.1062,NJ,44.0,Married,15.0,Full Option Plan,1
14,F,36.0,Bachelors,Human Resources,5.0,Finance,High,Junior Associate,4.0,No,Excellent,8.0,2.0,3.0,2.0,0.0,4.0,2.2027,NY,25.0,Married,13.0,Full Option Plan,0
15,M,34.0,Some College,Human Resources,3.0,Finance,High,Junior Associate,0.0,No,Excellent,4.0,1.0,1.0,2.0,0.0,2.0,8.3175,NJ,28.0,Married,19.0,Full Option Plan,0
16,M,28.0,Some College,Medical,5.0,Finance,Medium,Junior Associate,1.0,No,Excellent,6.0,6.0,3.0,1.0,0.0,4.0,2.649,NY,45.0,Divorced,13.0,Full Option Plan,1
17,M,36.0,Bachelors,Life Sciences,5.0,Finance,Low,Junior Associate,0.0,No,Outstanding,6.0,3.0,3.0,4.0,0.0,3.0,7.6785,NY,42.0,Married,21.0,No Option Plan,0
18,M,39.0,Bachelors,Life Sciences,5.0,Human Resources,Very High,Associate,8.0,No,Excellent,13.0,2.0,3.0,4.0,0.0,4.0,7.6658,NY,36.0,Married,11.0,Large Option Plan,1
19,M,33.0,Some College,Human Resources,4.0,Human Resources,Very High,Junior Associate,3.0,Yes,Excellent,7.0,4.0,4.0,3.0,0.0,3.0,8.0988,NJ,25.0,Divorced,11.0,Full Option Plan,0
20,F,45.0,Masters,Medical,6.0,Human Resources,Medium,Junior Associate,1.0,No,Excellent,6.0,3.0,3.0,3.0,0.0,4.0,5.5856,NY,29.0,Single,16.0,No Option Plan,0
21,M,38.0,Bachelors,Human Resources,7.0,Human Resources,High,Junior Associate,1.0,No,Excellent,7.0,2.0,4.0,6.0,5.0,0.0,7.7361,NJ,41.0,Married,13.0,Full Option Plan,0
22,F,35.0,Masters,Technical Degree,5.0,Human Resources,High,Junior Associate,1.0,No,Excellent,6.0,2.0,1.0,4.0,1.0,4.0,5.1857,NJ,34.0,Single,17.0,No Option Plan,0
23,M,33.0,Bachelors,Human Resources,5.0,Operations,Medium,Junior Associate,1.0,No,Excellent,5.0,2.0,3.0,4.0,1.0,4.0,8.0495,NY,47.0,Married,13.0,Full Option Plan,0
24,M,42.0,Doctorate,Medical,4.0,Operations,Very High,Associate,7.0,No,Excellent,10.0,3.0,4.0,3.0,0.0,3.0,5.2945,NJ,50.0,Married,16.0,Full Option Plan,1
25,M,34.0,Bachelors,Life Sciences,10.0,Operations,High,Associate,4.0,No,Excellent,14.0,5.0,4.0,9.0,1.0,8.0,8.345,NY,44.0,Married,11.0,Large Option Plan,0
26,M,46.0,Some College,Life Sciences,7.0,Operations,Very High,Junior Associate,6.0,No,Excellent,10.0,3.0,4.0,6.0,5.0,7.0,5.4785,NY,23.0,Single,12.0,No Option Plan,0
27,M,56.0,Masters,Life Sciences,7.0,Operations,Very High,VP to C-Level,6.0,No,Excellent,36.0,4.0,3.0,3.0,7.0,7.0,6.5731,NJ,23.0,Single,14.0,No Option Plan,1
28,M,51.0,Bachelors,Life Sciences,33.0,Operations,High,Executive,1.0,Yes,Excellent,33.0,2.0,3.0,9.0,0.0,10.0,8.9588,NY,20.0,Divorced,11.0,Full Option Plan,1
29,M,42.0,Bachelors,Human Resources,20.0,Operations,High,Executive,0.0,No,Excellent,21.0,5.0,3.0,7.0,0.0,9.0,9.3038,NJ,46.0,Married,14.0,Full Option Plan,1
30,M,29.0,Bachelors,Other,10.0,Human Resources,Medium,Manager,1.0,No,Excellent,10.0,3.0,2.0,9.0,0.0,9.0,9.1774,NJ,21.0,Single,13.0,No Option Plan,1
31,M,31.0,Some College,Medical,3.0,Human Resources,Very High,Junior Associate,9.0,No,Excellent,8.0,3.0,3.0,2.0,0.0,2.0,5.8189,NJ,42.0,Single,18.0,No Option Plan,0
32,F,30.0,Bachelors,Life Sciences,5.0,Human Resources,High,Junior Associate,0.0,No,Outstanding,6.0,3.0,4.0,3.0,1.0,3.0,6.6768,NJ,29.0,Divorced,21.0,Full Option Plan,0
33,M,40.0,Some College,Medical,21.0,Human Resources,High,Executive,1.0,Yes,Outstanding,21.0,2.0,3.0,7.0,7.0,7.0,4.89,NJ,41.0,Single,21.0,No Option Plan,1
34,F,38.0,Masters,Human Resources,6.0,Information Technology,High,Associate,3.0,No,Excellent,10.0,2.0,3.0,3.0,1.0,2.0,9.3886,NY,49.0,Married,11.0,No Option Plan,1
35,F,47.0,Masters,Life Sciences,5.0,Information Technology,Very High,VP to C-Level,3.0,No,Excellent,27.0,2.0,3.0,2.0,1.0,0.0,1.2346,NY,24.0,Married,11.0,Full Option Plan,1
36,M,44.0,Doctorate,Human Resources,10.0,Information Technology,Low,Associate,4.0,Yes,Excellent,14.0,3.0,3.0,7.0,0.0,2.0,9.0356,NY,34.0,Married,11.0,No Option Plan,1
37,M,44.0,Bachelors,Life Sciences,2.0,Information Technology,High,Junior Associate,4.0,Yes,Excellent,8.0,2.0,3.0,2.0,2.0,2.0,8.0455,NJ,33.0,Divorced,18.0,Small Option Plan,0
38,M,41.0,Bachelors,Human Resources,3.0,Finance,High,Associate,6.0,No,Excellent,10.0,4.0,3.0,2.0,1.0,2.0,7.723,NY,48.0,Married,19.0,Full Option Plan,1
39,M,45.0,Bachelors,Life Sciences,5.0,Finance,High,Manager,4.0,No,Outstanding,9.0,2.0,4.0,0.0,0.0,3.0,9.6737,NJ,46.0,Married,21.0,Large Option Plan,1
40,F,24.0,Bachelors,Medical,2.0,Finance,Low,Junior Associate,0.0,No,Excellent,3.0,2.0,3.0,2.0,2.0,1.0,5.706,NJ,43.0,Married,14.0,Full Option Plan,0
41,M,43.0,Bachelors,Life Sciences,9.0,Finance,Medium,Junior Associate,0.0,No,Excellent,10.0,5.0,3.0,7.0,1.0,8.0,4.6681,NY,43.0,Single,13.0,No Option Plan,0
42,F,37.0,Some College,Other,10.0,Finance,High,Associate,2.0,No,Excellent,19.0,4.0,2.0,0.0,4.0,7.0,0.5022,NY,36.0,Divorced,13.0,No Option Plan,0
43,F,38.0,Bachelors,Human Resources,11.0,Human Resources,Low,Junior Associate,5.0,No,Excellent,13.0,3.0,3.0,10.0,3.0,8.0,2.0988,NJ,32.0,Divorced,13.0,Small Option Plan,0
44,M,28.0,Some College,Life Sciences,3.0,Human Resources,High,Junior Associate,1.0,No,Excellent,3.0,2.0,3.0,2.0,2.0,2.0,6.6532,NY,44.0,Divorced,15.0,Full Option Plan,0
45,F,29.0,Below College,Medical,1.0,Human Resources,Very High,Junior Associate,1.0,No,Excellent,1.0,3.0,3.0,0.0,0.0,0.0,8.1063,NY,47.0,Married,11.0,No Option Plan,0
46,F,36.0,Below College,Human Resources,10.0,Human Resources,Medium,Associate,1.0,No,Outstanding,10.0,2.0,2.0,1.0,0.0,8.0,8.1486,NJ,34.0,Single,21.0,No Option Plan,0
47,M,38.0,Masters,Other,6.0,Human Resources,Very High,Junior Associate,0.0,Yes,Excellent,7.0,2.0,3.0,2.0,1.0,2.0,5.7058,NY,21.0,Married,11.0,Full Option Plan,0
48,M,55.0,Masters,Human Resources,10.0,Human Resources,High,VP to C-Level,4.0,Yes,Excellent,35.0,0.0,3.0,9.0,1.0,4.0,7.2237,NJ,44.0,Married,18.0,Full Option Plan,1
49,M,25.0,Bachelors,Human Resources,2.0,Human Resources,High,Junior Associate,4.0,No,Excellent,6.0,3.0,3.0,0.0,1.0,2.0,8.9723,NY,46.0,Married,14.0,No Option Plan,0
50,F,35.0,Masters,Life Sciences,9.0,Human Resources,High,Manager,1.0,Yes,Excellent,9.0,2.0,3.0,0.0,1.0,7.0,8.2361,NY,27.0,Single,16.0,No Option Plan,1
51,M,49.0,Below College,Life Sciences,10.0,Information Technology,High,Associate,1.0,No,Outstanding,10.0,3.0,3.0,7.0,1.0,7.0,8.5005,NJ,25.0,Married,23.0,Full Option Plan,1
52,M,33.0,Masters,Life Sciences,8.0,Marketing,Very High,Junior Associate,1.0,Yes,Excellent,8.0,3.0,3.0,7.0,3.0,0.0,6.4257,NY,34.0,Married,11.0,No Option Plan,0
